SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
TELANGANA,2004,34.4,17.9,9.3,25.9,34.6,64.6,216.7,117.7,110.1,30.6,5.3,0,667,52.2,69.8,509.1,35.9
RAYALSEEMA,2004,10.2,4.3,12.9,35.1,149.7,39.8,122.9,23.1,153.7,124.4,65.6,0,741.7,14.5,197.7,339.5,190.1
TAMIL NADU,2004,2.8,0.7,3,16.2,101.1,21.2,98.6,85.1,208.3,271.1,204.5,25,1037.6,3.5,120.3,413.2,500.6
COASTAL KARNATAKA,2004,0,0,6.3,24.7,329.2,805.8,718.1,874.5,154.4,104.7,52.1,0,3070,0.1,360.3,2552.8,156.8
NORTH INTERIOR KARNATAKA,2004,2.6,2.7,1.6,29.9,93.8,106.1,111.7,92.8,134.6,61.6,4.3,0.2,641.9,5.3,125.3,445.2,66.1
SOUTH INTERIOR KARNATAKA,2004,9.1,12.8,16.4,62.2,180.2,196.6,191.7,211.1,117.5,101.5,24,10.4,1133.4,21.9,258.7,716.8,136
KERALA,2004,2.4,8.1,37.9,113.2,610.9,673.4,385.4,417.9,192.8,320.6,120.7,2.7,2886.1,10.5,762,1669.5,444
LAKSHADWEEP,2004,7.2,1.5,1.9,7.7,330.2,251.2,280.8,169.5,200,193.4,107.6,2.2,1553.2,8.7,339.8,901.5,303.2
ANDAMAN & NICOBAR ISLANDS,2005,0,0,20.3,51.1,305.3,452.4,429.3,311.1,507.5,293.5,300.1,283.9,2954.7,0,376.8,1700.4,877.5
ARUNACHAL PRADESH,2005,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400,243.6,139.3,28.6,3.3,2335.5,216,604.6,1343.7,171.2
ASSAM & MEGHALAYA,2005,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,53.3,660.9,1525.2,228.9
NAGA MANI MIZO TRIPURA,2005,6.4,15,118.6,98.1,237,212.3,301.5,334.8,292.6,194.3,15.6,10.5,1836.7,21.4,453.7,1141.1,220.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,2005,19.5,21,132.1,155.5,254,446.5,704.3,564.5,229.9,271.1,8.8,0.5,2807.7,40.6,541.6,1945.1,280.4
GANGETIC WEST BENGAL,2005,26.8,11.8,82.8,41.8,82.4,200.1,354.5,226.7,221.3,351.7,0,4.9,1604.9,38.6,207,1002.6,356.6
ORISSA,2005,29.4,4,24.3,20.9,44.9,199.4,410.3,201,342.8,206.9,12.4,7.1,1503.4,33.4,90.1,1153.5,226.4
JHARKHAND,2005,22.1,17.5,17.7,9.6,23.5,157.2,266.4,214.5,141.5,83.1,1.3,6.1,960.4,39.6,50.7,779.5,90.5
BIHAR,2005,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.2,907.8,28.2,48.5,796.7,34.5
EAST UTTAR PRADESH,2005,14,14,10.3,0.9,8,57.5,290.3,227.3,119.7,25.2,0,2.9,770.3,28,19.2,694.8,28.2
WEST UTTAR PRADESH,2005,10.1,17.9,22.6,1.2,6.9,67.1,298.2,96,202.5,2.5,0,0.6,725.7,28,30.7,663.9,3.1
UTTARAKHAND,2005,64.1,83.2,54.2,12.8,52.1,74,400.1,249.2,337.9,14.1,2.2,4.3,1348.2,147.3,119.1,1061.3,20.5
HARYANA DELHI & CHANDIGARH,2005,13.9,35.7,29.9,2.7,7.6,53.9,175.6,52.6,146.7,0,0.8,0,519.5,49.6,40.3,428.8,0.8
PUNJAB,2005,35.8,60.3,28.6,8.4,5.2,34.6,176.7,95.3,106.7,0.4,0,0,552,96.1,42.2,413.4,0.4
HIMACHAL PRADESH,2005,147.8,222.9,143.3,35.2,52.4,52.6,317.2,114.2,156.3,1.8,0.3,4.5,1248.5,370.7,230.9,640.3,6.6
JAMMU & KASHMIR,2005,296,403.5,189.7,64.9,92,41.6,440.3,77.7,50,14.6,21.8,0.5,1692.7,699.5,346.6,609.7,37
WEST RAJASTHAN,2005,1.4,14.2,8.7,6.3,14.5,29.2,86.1,24.3,75.8,0,0.1,0,260.8,15.6,29.6,215.4,0.1
EAST RAJASTHAN,2005,0.4,3.6,5.7,6.2,4.8,55.6,239,80,172.5,0,0,0,567.9,4.1,16.7,547.1,0
WEST MADHYA PRADESH,2005,13.7,3.1,12.3,6.1,1.9,81.2,345.7,130.5,155.1,1.3,0,1.4,752.2,16.8,20.3,712.4,2.7
EAST MADHYA PRADESH,2005,35.2,10.6,27.4,3.4,41.7,163.9,597.2,256.6,198.4,27.6,0,4.4,1366.4,45.8,72.5,1216.1,32
GUJARAT REGION,2005,0,0,0,0,0.3,367.3,378.7,229.4,339.2,1.4,0,0,1316.4,0,0.3,1314.7,1.4
SAURASHTRA & KUTCH,2005,0,0,0,0.2,0.2,201.2,126.7,68.4,233.1,1.7,0,0,631.6,0,0.4,629.4,1.7
KONKAN & GOA,2005,1.3,0.1,1.9,4,9.8,730.2,1340.9,772.2,678.8,76.5,0,0.1,3615.7,1.4,15.6,3522.2,76.6
MADHYA MAHARASHTRA,2005,3.6,0.4,1.6,11.1,7.8,240.5,361.2,256.1,276.4,62.7,0,0,1221.3,4,20.5,1134.2,62.7
MATATHWADA,2005,13.2,0.7,11.6,1.6,2.1,59.7,413.5,124.1,213.5,100.5,0,0,940.5,13.8,15.3,810.9,100.5
VIDARBHA,2005,74.9,7,7.2,1.9,2.6,144.4,393.2,249.2,246.8,87.2,0,0.2,1214.6,81.8,11.7,1033.7,87.4
CHHATTISGARH,2005,57.6,15.6,6.1,6.5,16.4,197,393.8,267.7,240.5,83.5,1.6,1,1287.2,73.2,29,1099,86.1
COASTAL ANDHRA PRADESH,2005,13.6,8,17.4,32.2,48.4,88.1,151.5,105.9,398.1,298,56.2,4.2,1221.6,21.6,98,743.6,358.4
TELANGANA,2005,43.4,14.1,14.6,23.8,19.7,115.1,400.3,126.9,246.3,136.1,3.9,18.8,1163.1,57.5,58.2,888.5,158.8
RAYALSEEMA,2005,1.3,13.6,14.7,38.5,48.4,51.2,133.2,106.6,127.6,304.8,144.8,81.7,1066.4,14.9,101.6,418.6,531.2
TAMIL NADU,2005,4.1,11.1,24.4,128,80.6,35.7,87.9,93.3,117.9,280.5,353.4,148.5,1365.3,15.2,233,334.8,782.3
COASTAL KARNATAKA,2005,0.5,0.2,0,72.5,45,821.6,1177.3,692,456.2,178.7,24.6,2.3,3470.9,0.6,117.5,3147.2,205.6
NORTH INTERIOR KARNATAKA,2005,5.8,0.8,5.5,52.5,34.5,98.7,219.4,123.3,159.7,102.3,5,0.1,807.5,6.6,92.6,601,107.4
SOUTH INTERIOR KARNATAKA,2005,7.2,3.9,3.2,76,74.7,138.7,333.5,233.2,145.5,241.8,56.3,5.3,1319.3,11.1,153.8,851,303.5
KERALA,2005,19.8,7,25.3,205.9,134.8,619.2,832.7,291,414.7,240.1,184.3,56.4,3031.1,26.8,366,2157.6,480.7
LAKSHADWEEP,2005,17.6,11.1,0,37,92.8,248.5,378.9,102.4,278,164.2,218.3,26.6,1575.4,28.7,129.8,1007.8,409.1
ANDAMAN & NICOBAR ISLANDS,2006,16.3,14.4,48.9,163.7,321.4,366,182.7,219.6,546.5,374.7,76.1,74.4,2404.7,30.7,534,1314.9,525.2
ARUNACHAL PRADESH,2006,6,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,2259.6,109.7,587.7,1393.5,168.7
ASSAM & MEGHALAYA,2006,0.7,40.9,20.8,169,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,41.5,515.5,1208.1,133.5
NAGA MANI MIZO TRIPURA,2006,0.6,12.4,5.5,111.1,382.2,445.6,335,241.6,231.1,90.4,13,3.7,1872,12.9,498.8,1253.2,107.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2006,0.7,17,39.8,119.3,270.5,446.2,470.2,295,456.8,118.4,20.3,7.9,2262.1,17.7,429.6,1668.2,146.6
GANGETIC WEST BENGAL,2006,0.8,3,10.6,60.5,120.8,221,486.6,320.3,380.9,49.7,5.9,0.3,1660.5,3.9,191.9,1408.8,55.9
ORISSA,2006,0.2,0,29.9,25,105.6,175.2,454,624.9,254.7,26.4,21,0,1716.9,0.2,160.5,1508.8,47.4
JHARKHAND,2006,0.3,0.2,22.4,15.7,107.4,198.3,447.1,337.2,298.7,24.6,7.4,0,1459.5,0.5,145.5,1281.4,32
BIHAR,2006,0.1,0,1.9,19.2,73.2,200,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
EAST UTTAR PRADESH,2006,0,0,10.7,7.8,27.1,107.4,269.1,146.7,51.5,9.1,1.2,1.5,632.1,0,45.6,574.8,11.8
WEST UTTAR PRADESH,2006,0.5,0,20.2,4,34.1,66.6,241.6,78.1,65.7,16.7,0.7,1,529.3,0.5,58.3,452,18.4
UTTARAKHAND,2006,48.7,9.6,71.7,52.2,120.5,104.2,345.6,294.7,79.1,18.8,6.8,27,1178.9,58.3,244.4,823.7,52.6
HARYANA DELHI & CHANDIGARH,2006,2.3,0.1,30.4,0.6,24.8,45.4,135.2,32.1,49.9,3.8,1.2,5.2,330.9,2.4,55.7,262.6,10.2
PUNJAB,2006,15,3.7,46.1,1.3,32.1,73,220.3,90.8,120.7,24.6,13.4,6.7,647.7,18.7,79.5,504.8,44.7
HIMACHAL PRADESH,2006,102.5,38.2,137.3,44.3,68.4,104.8,260.3,274.2,92.8,17.5,26.9,51.2,1218.4,140.7,250,732.1,95.6
JAMMU & KASHMIR,2006,200.3,92.3,96.8,34.4,43.8,74.3,209,331.5,203,46.2,72.5,115.8,1519.8,292.5,174.9,817.8,234.5
WEST RAJASTHAN,2006,0,0,16.9,3.4,8.3,36.9,52.7,203.6,31.3,5.3,0.4,2.5,361.3,0,28.6,324.4,8.3
EAST RAJASTHAN,2006,0,0,11.9,0.4,13.1,73.8,215.9,341.5,88.9,2.4,0.1,0.5,748.4,0,25.4,720,3
WEST MADHYA PRADESH,2006,0,0,44.3,3.3,22.8,74.5,299,501.9,198.1,13.7,8.6,3,1169.2,0,70.4,1073.5,25.2
EAST MADHYA PRADESH,2006,0,0,50.3,14.2,18,56.3,373.8,328.3,74.1,13,12.3,3,943.4,0,82.5,832.6,28.4
GUJARAT REGION,2006,0,0,0.8,0,0.2,123.5,576,624.8,140.6,9.2,2.9,0,1478,0,1.1,1464.9,12.1
SAURASHTRA & KUTCH,2006,0,0,1.9,0,0,66.2,373.4,189.8,68.2,1.4,0.3,0.6,701.8,0,1.9,697.7,2.3
KONKAN & GOA,2006,0,0,9.9,0,211.8,683.1,1066.2,886.4,399.9,202.4,22.5,0,3482.2,0,221.7,3035.6,224.9
MADHYA MAHARASHTRA,2006,0,0,7.1,0.2,42.3,205.3,416.4,421.7,217,60.1,25.5,0,1395.7,0,49.7,1260.4,85.6
MATATHWADA,2006,0,0,30.7,1.6,26.7,134.7,116.2,301.3,209.4,47.7,4.6,0,872.9,0,59.1,761.5,52.3
VIDARBHA,2006,0,0,50.6,16.2,20.9,115,360.8,421.4,175.8,43.7,11.1,0,1215.6,0,87.7,1073,54.8
CHHATTISGARH,2006,2.7,0,26.2,17.2,23.5,92.2,495.1,447.2,184.6,13.3,15.1,0.7,1317.7,2.7,66.8,1219,29.1
COASTAL ANDHRA PRADESH,2006,0,0,30.7,58,67.6,132,126.8,279.7,224.1,185.4,55.3,0,1159.6,0,156.3,762.6,240.7
TELANGANA,2006,0,0,42.7,38.6,46.1,104.8,169.5,308.2,280.2,28.1,34.7,0,1053,0,127.5,862.7,62.8
RAYALSEEMA,2006,0.2,0,32.8,9.7,62.7,85.8,43.2,72,144.7,88.4,78.6,20,638.1,0.2,105.2,345.7,187
TAMIL NADU,2006,15.3,0.2,52.4,32.6,65.2,57.2,33.6,73.4,116.3,240.4,215.1,26.1,927.9,15.5,150.2,280.6,481.6
COASTAL KARNATAKA,2006,1,0,4.7,5.9,355.7,800.1,1100.8,855.6,404.1,212,97.4,0,3837.3,1,366.3,3160.6,309.4
NORTH INTERIOR KARNATAKA,2006,0,0,16.8,12.1,79,130.2,113.9,89.1,136.8,43.6,29,0,650.6,0,107.9,470,72.6
SOUTH INTERIOR KARNATAKA,2006,0.2,0.1,35.4,24.7,127.1,183.7,226.7,172.9,112,61.7,84.9,1.1,1030.5,0.3,187.2,695.3,147.7
KERALA,2006,8.1,0.5,90.7,65.3,521.2,482.4,804,432.6,474.8,376.4,162.8,1.8,3420.6,8.6,677.2,2193.8,541
LAKSHADWEEP,2006,20.1,0,33,0.3,327.9,286.9,172.3,150.7,318.5,119.1,158.9,10.9,1598.6,20.1,361.2,928.4,288.9
ANDAMAN & NICOBAR ISLANDS,2007,4.9,1.6,5,54.6,370,378.3,463.2,465.3,486.4,209.4,223.9,85.6,2748,6.5,429.6,1793.1,518.9
ARUNACHAL PRADESH,2007,13.4,97.4,48.1,292.4,250.4,530.2,761,364.6,529.3,102.6,24.3,6.9,3020.7,110.8,590.9,2185.1,133.9
ASSAM & MEGHALAYA,2007,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308,494.7,164.7,47.7,4,2752.8,75.2,486.1,1975.1,216.4
NAGA MANI MIZO TRIPURA,2007,7.9,54.7,28.7,220.4,276.7,446.3,430,373.8,426.6,180.5,82.6,10.1,2538.2,62.6,525.8,1676.6,273.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,2007,3.1,81.1,46.6,160.1,215.1,485.1,686.3,412.4,458.6,79.5,8.8,2,2638.9,84.2,421.7,2042.5,90.3
GANGETIC WEST BENGAL,2007,3.9,56.2,39.3,38.7,98.7,226.3,610.1,328,459.9,55.8,24.6,0,1941.4,60.1,176.7,1624.2,80.4
ORISSA,2007,0.7,32.5,8,21,62.8,321,285.1,420.6,401.7,66.4,14,0,1633.8,33.2,91.8,1428.4,80.4
JHARKHAND,2007,1.7,48.4,25.5,22.3,58.1,125.4,430.4,353.6,324.7,39.6,7.6,0,1437.3,50.1,105.8,1234.1,47.2
BIHAR,2007,0.2,34.2,25.4,20.3,94.4,170.4,549.4,340.6,309,39.6,9.1,7.5,1600.2,34.3,140.2,1369.4,56.2
EAST UTTAR PRADESH,2007,0.1,46.6,25.8,3.2,28.3,64.5,265.2,180.4,111.5,14.6,0,1.1,741.2,46.7,57.2,621.6,15.7
WEST UTTAR PRADESH,2007,0.4,66.9,37.4,0.9,11,88.4,155.1,152.2,57,1.8,0,1.4,572.5,67.3,49.3,452.7,3.2
UTTARAKHAND,2007,1.7,138.9,123.1,41.1,78.8,139.9,522.9,502.8,325.6,25.1,7.8,16.7,1924.3,140.6,243,1491.2,49.6
HARYANA DELHI & CHANDIGARH,2007,0.5,76,40.1,2,12.4,88.7,82,87.9,55.2,0.1,0.3,1.4,446.6,76.5,54.6,313.7,1.7
PUNJAB,2007,1.2,68.8,48.2,10,5.9,64.4,95.1,215.4,73.7,0.6,0.9,10.6,594.8,70,64.1,448.6,12.1
HIMACHAL PRADESH,2007,1.3,121,177,9.6,39.3,155.7,155.2,234.3,85.7,18.7,1,35.6,1034.5,122.3,225.9,631,55.4
JAMMU & KASHMIR,2007,12.3,116.7,259.3,15,65.6,143.9,132.4,196.8,33,1.6,0,47,1023.5,129,339.8,506.1,48.6
WEST RAJASTHAN,2007,0,34.9,22,2.3,3.8,41.2,90.5,69.4,45.6,0,0.1,0.9,310.8,35,28.1,246.7,1
EAST RAJASTHAN,2007,0.7,16.8,10.6,1.5,5.5,63,223,167.9,86.1,0,0,0.5,575.7,17.5,17.6,540.1,0.5
WEST MADHYA PRADESH,2007,1.7,11.5,2.6,0.6,14.6,99.9,305.6,220.6,138.3,0,10.5,0.6,806.5,13.3,17.8,764.3,11.1
EAST MADHYA PRADESH,2007,7,26.3,8.6,2.9,6.2,74.8,207.8,162.6,130.1,3.1,22.8,1.5,653.8,33.3,17.7,575.3,27.5
GUJARAT REGION,2007,0.1,0.4,0,0,0.3,94,567.8,345.6,169.4,0,1.4,0,1178.9,0.5,0.3,1176.7,1.4
SAURASHTRA & KUTCH,2007,0,1.9,0.1,0,0.2,114.1,209.2,405.4,157,1.7,1.2,0,890.7,1.9,0.3,885.7,2.8
KONKAN & GOA,2007,0,0,0.1,3.3,33.4,939.3,841.3,980.2,609,45.6,16,0.1,3468.5,0,36.9,3369.9,61.7
MADHYA MAHARASHTRA,2007,1.3,0.4,0,2.1,5.5,266.9,293.5,274.2,189.2,3.4,3.9,0,1040.4,1.7,7.6,1023.7,7.3
MATATHWADA,2007,0,0,0.1,0.7,10,185.4,123.1,146.2,240.7,0.9,7.5,0,714.6,0,10.8,695.3,8.5
VIDARBHA,2007,0.1,1.3,1.4,3.2,1.2,256.7,349.1,282.4,241.8,27.3,2.5,0,1167,1.4,5.8,1130,29.8
CHHATTISGARH,2007,0,15.7,6.2,11.4,10.4,259.4,309.9,338.8,259.1,67.8,2,0.5,1281.2,15.7,28,1167.2,70.3
COASTAL ANDHRA PRADESH,2007,0,5.1,0.1,8.5,13,300.1,141,164.4,287.1,167.7,11.9,0.5,1099.2,5.1,21.6,892.5,180
TELANGANA,2007,0,0,0.1,0.1,9.2,176.6,134.6,206.6,262.3,40.8,13,0,843.3,0,9.4,780.2,53.8
RAYALSEEMA,2007,0,0.5,0.1,6,15.1,208.2,83.8,186.9,186,176.9,35.3,81.8,980.6,0.5,21.2,665,294
TAMIL NADU,2007,7.2,7.5,1.8,58,44.9,73.1,101,136.5,89.1,248.9,79.2,219.9,1067.2,14.7,104.7,399.7,548
COASTAL KARNATAKA,2007,0,0,0.6,40.2,61.1,952,1004.4,980.4,630.5,152.8,37.5,0.8,3860.2,0,101.9,3567.2,191.1
NORTH INTERIOR KARNATAKA,2007,11.7,6.8,7.7,27,38.9,215.5,117.2,143.4,205.4,40.5,13.5,9.2,836.9,18.5,73.7,681.5,63.2
SOUTH INTERIOR KARNATAKA,2007,0.1,0.3,0.9,39.8,76.7,216.7,267.2,245.5,198.5,152.5,18.2,14.6,1231,0.4,117.5,927.9,185.3
KERALA,2007,0.5,5.6,7.3,138.5,192.7,705.9,966.3,489.6,526.7,357.2,87.4,11.9,3489.6,6.1,338.4,2688.5,456.5
LAKSHADWEEP,2007,2.5,4.2,0.2,22.2,166.2,573.4,427.4,294.7,457.5,256.1,47.6,109.6,2361.6,6.7,188.6,1753,413.3
ANDAMAN & NICOBAR ISLANDS,2008,9.9,67.7,115.8,216.1,545.5,457.8,511.2,482.1,332,243.7,321.1,72,3374.8,77.6,877.3,1783.1,636.8
ARUNACHAL PRADESH,2008,76.7,39.7,122.6,192.4,185,423.6,456.1,439.3,189.7,115.1,1.7,2.6,2244.4,116.4,499.9,1508.7,119.4
ASSAM & MEGHALAYA,2008,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,44.2,474.4,1683.9,137.2
NAGA MANI MIZO TRIPURA,2008,30.7,13.8,49.6,54.9,200.8,327.4,333.3,358.6,223.7,150.2,4.7,1.2,1748.9,44.4,305.3,1243,156.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2008,33.2,22.1,79.8,141.8,171.4,526.5,657.7,636.3,296.7,97.9,16.9,9.5,2689.9,55.3,393,2117.3,124.3
GANGETIC WEST BENGAL,2008,49.4,12.4,11.5,42.8,94.4,414.5,338.4,252.2,267.3,72.3,0,0.2,1555.2,61.8,148.8,1272.3,72.4
ORISSA,2008,27.5,10.4,17.5,28.2,37.4,343.5,306.4,388.3,355,22.1,2.7,0,1538.9,37.9,83.1,1393.2,24.8
JHARKHAND,2008,19.4,3.6,6.2,10.7,42.9,366.3,377.9,310.5,152.9,34,1,0,1325.3,22.9,59.7,1207.7,35
BIHAR,2008,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
EAST UTTAR PRADESH,2008,3.1,2.4,0.2,3,16.1,223.7,341.6,239.6,112.7,10.3,0.6,0,953.4,5.5,19.3,917.6,10.9
WEST UTTAR PRADESH,2008,0.9,0.2,0,4,24.8,193.8,258.5,217.4,90.9,5.1,4,0,799.8,1.2,28.8,760.7,9.1
UTTARAKHAND,2008,55.6,11.7,18.1,93,67.3,332.4,313.3,245.8,190.8,23.1,11.9,0.6,1363.7,67.3,178.4,1082.3,35.7
HARYANA DELHI & CHANDIGARH,2008,2.4,0.4,0.6,13.4,72.9,193.5,124.3,174.2,114.5,8.4,5.5,0.2,710.4,2.8,86.9,606.6,14.1
PUNJAB,2008,12,4.1,0,19.7,40.6,155.5,101.9,312.2,59.8,9.9,0.6,0.9,717.1,16.1,60.3,629.3,11.4
HIMACHAL PRADESH,2008,129.9,63.2,6.3,44.4,42.9,187.3,194.9,224.7,142.6,33.9,5.3,38.9,1114.2,193.1,93.6,749.4,78
JAMMU & KASHMIR,2008,153.5,130.8,9.9,97.7,63.3,134.9,266.3,166,44.7,42.4,25.2,89.8,1224.5,284.2,170.8,612,157.4
WEST RAJASTHAN,2008,1.6,0.2,0.8,18.2,24.7,56.1,57.1,133.3,23,0.4,0.4,8.3,324.1,1.8,43.6,269.5,9.1
EAST RAJASTHAN,2008,0.1,0,0.5,9,22.1,160.6,166.1,167.9,112.7,3,2.4,0.1,644.6,0.1,31.6,607.3,5.5
WEST MADHYA PRADESH,2008,0.4,0,2.5,2.5,3.8,194.2,221.8,205.8,139.7,12.9,7.5,0,791.1,0.4,8.8,761.5,20.5
EAST MADHYA PRADESH,2008,1.4,4.1,8.9,2.5,5.3,307.6,268.2,270.2,116.1,15.5,3,0.4,1003.2,5.5,16.7,962.2,18.9
GUJARAT REGION,2008,0,0,0,3.1,0.1,58.2,261.9,369.5,204.3,11.6,0.1,2.3,911.1,0,3.3,893.9,14
SAURASHTRA & KUTCH,2008,0.1,0.1,0.1,0.5,0,96,150.3,115.1,231.6,5.8,0.6,7.7,607.9,0.2,0.6,593,14.1
KONKAN & GOA,2008,0,0.1,31.5,0.3,11.1,798.5,766.6,833.1,551.2,57.3,0.9,2.4,3053.1,0.1,43,2949.3,60.6
MADHYA MAHARASHTRA,2008,0,0,18.1,0.6,1.1,107.9,157.9,257.6,312.4,56.6,3.7,0.9,916.9,0,19.9,835.9,61.1
MATATHWADA,2008,0.1,0.1,14.6,3.7,1.8,66.7,106.5,150.8,267.8,33.8,0.3,0.1,646.3,0.1,20.2,591.7,34.2
VIDARBHA,2008,0.2,1.9,19.2,2.8,2.9,137.9,261.5,254,160.8,22.4,2.9,0.1,866.6,2.1,24.9,814.2,25.4
CHHATTISGARH,2008,6.7,9.7,22.2,11.2,9.5,236.4,280.5,305.1,215.4,10.7,1.2,0,1108.5,16.4,42.9,1037.4,11.8
COASTAL ANDHRA PRADESH,2008,3.2,61.6,93.8,18.5,34.9,119.8,208.5,276.2,166.8,51.6,71.4,1.2,1107.5,64.8,147.1,771.4,124.2
TELANGANA,2008,0.2,18.6,108.6,15.7,4.9,132.9,183.4,391.8,146.7,24.2,7.5,0.8,1035.3,18.8,129.3,854.8,32.5
RAYALSEEMA,2008,6.4,18.7,62.9,4.1,42.1,31.7,81.4,104.9,121.7,126,192.1,5.9,798,25.1,109.1,339.8,323.9
TAMIL NADU,2008,11.7,29.1,164.7,31.5,53.7,51.1,73.1,126.5,70.7,242.7,298.5,50.1,1203.4,40.8,250,321.5,591.2
COASTAL KARNATAKA,2008,0,14.8,161.4,33.4,64.3,850.7,687.8,886.3,383.3,91.6,19.3,13.5,3206.4,14.8,259,2808.1,124.4
NORTH INTERIOR KARNATAKA,2008,0.4,9.2,109.2,22.8,29.2,71.6,80.6,147.7,152.5,54.1,29.8,5.3,712.4,9.6,161.3,452.3,89.2
SOUTH INTERIOR KARNATAKA,2008,0.8,20.7,108.9,24.9,66.3,149.8,203.4,269.8,141.4,117.1,32.3,5.2,1140.6,21.5,200.1,764.4,154.6
KERALA,2008,0.8,30.3,217.2,108.4,81.2,469.9,505.1,349,347,343.4,55.4,17,2524.5,31.1,406.7,1670.9,415.7
LAKSHADWEEP,2008,5.5,19.8,120.7,15.8,180.4,254.6,363.9,206.6,108.9,252.9,67.6,130.1,1726.8,25.3,316.9,934,450.6
ANDAMAN & NICOBAR ISLANDS,2009,24.5,6.3,44.2,136.5,313.1,633.5,297.3,351.5,344.7,272.8,66.2,48,2538.6,30.8,493.7,1627.1,386.9
ARUNACHAL PRADESH,2009,18,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.9,1749.9,110.8,394.7,1111.8,132.7
ASSAM & MEGHALAYA,2009,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9,4,2068.2,19.5,426.2,1473.5,149
NAGA MANI MIZO TRIPURA,2009,0,3.2,27.5,93.1,209.5,271.9,295.8,380.9,271.3,158.2,26.1,0.2,1737.7,3.2,330.1,1219.9,184.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,2009,6,40.3,55,115.2,308.7,350.6,456.1,568.4,174.6,235.1,9.1,5.6,2324.6,46.3,478.9,1549.6,249.8
GANGETIC WEST BENGAL,2009,2.4,1.4,17.9,2.6,229,69.7,277.6,332.7,294.6,77.3,9.4,0.3,1315,3.8,249.5,974.6,87.1
ORISSA,2009,1.9,0.5,2.7,1.1,68.2,87.3,586,286.9,162.5,105.8,27.3,0.1,1330.3,2.4,72,1122.7,133.2
JHARKHAND,2009,1.8,0.8,2,0.8,78.1,62.7,266.6,248,248.8,82.2,4,0.5,996.1,2.6,80.8,826.1,86.6
BIHAR,2009,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
EAST UTTAR PRADESH,2009,0,1.1,0.8,0.6,22.8,29.9,149.4,177,139.6,80.9,4.9,3,610.2,1.1,24.2,496,88.9
WEST UTTAR PRADESH,2009,1.3,3.9,1.2,8.7,12.8,17.1,118.3,184.5,125.4,59.3,13.9,2.8,549.2,5.2,22.7,445.3,76
UTTARAKHAND,2009,1.8,27.6,18.8,18.4,77.6,41.9,157.5,202.6,206.6,81.3,12.6,0.9,847.8,29.4,114.8,608.7,94.9
HARYANA DELHI & CHANDIGARH,2009,4.1,5.9,5.7,11.7,17.7,15.2,106.4,63.8,160.8,2.5,1.1,0.4,395.4,10,35.2,346.3,4
PUNJAB,2009,9.4,14.4,10.5,14,5.6,10.6,158,76.8,54.7,4,2.7,0.4,361.2,23.9,30.1,300.1,7.1
HIMACHAL PRADESH,2009,54.8,45.9,43.4,91.2,53.5,45.5,170.2,162.6,172.1,16.4,93.1,7.8,956.5,100.7,188.2,550.3,117.2
JAMMU & KASHMIR,2009,120.3,117.9,63.7,113.5,64.3,64.1,NA,96.5,50.5,8.1,NA,NA,NA,238.2,241.5,NA,NA
WEST RAJASTHAN,2009,2.9,2.8,5.3,1.6,7.6,26.1,79.1,27.1,7.5,0.3,0.1,0.1,160.4,5.7,14.5,139.8,0.5
EAST RAJASTHAN,2009,0.5,0.2,2.4,0.2,5.7,38.9,189.1,113.3,45.5,10.9,7,0.5,414.1,0.7,8.4,386.7,18.4
WEST MADHYA PRADESH,2009,5.5,0,0.1,1.3,6.5,56.8,320.3,172.7,139.6,89.9,65.1,19.1,877,5.5,7.9,689.4,174.1
EAST MADHYA PRADESH,2009,14.8,1,1.8,2.7,3.7,35.3,317.6,191.3,208.7,68.9,79.2,19,943.9,15.7,8.2,752.8,167.1
GUJARAT REGION,2009,0,0,0.3,0,0,17,390.3,143.5,54.9,27.4,8.1,0,641.6,0,0.3,605.7,35.5
